Id,Name,Alignment,Gender,Eyecolor,Race,Haircolor,Publisher,Skincolor,Height,Weight,Number,Intelligence,Strength,Speed,Durability,Power,Combat,Total
1,A-Bomb,good,Male,yellow,Human,No Hair,Marvel Comics,-,203,441,1011429,38,100,17,80,17,64,316
2,Abe Sapien,good,Male,blue,Icthyo Sapien,No Hair,Dark Horse Comics,blue,191,65,1011430,88,14,35,42,35,85,299
3,Abin Sur,good,Male,blue,Ungaran,No Hair,DC Comics,red,185,90,1011431,50,90,53,64,84,65,406
4,Abomination,bad,Male,green,Human / Radiation,No Hair,Marvel Comics,-,203,441,1011432,63,80,53,90,55,95,436
5,Abraxas,bad,Male,blue,Cosmic Entity,Black,Marvel Comics,-,-99,-99,1011433,88,100,83,99,100,56,526
6,Absorbing Man,bad,Male,blue,Human,No Hair,Marvel Comics,-,193,122,1009148,-,-,-,-,-,-,-
7,Adam Monroe,good,Male,blue,-,Blond,NBC - Heroes,-,-99,-99,1011434,63,10,12,100,71,64,320
8,Adam Strange,good,Male,blue,Human,Blond,DC Comics,-,185,88,1011435,1,1,1,1,0,1,5
9,Agent 13,good,Female,blue,-,Blond,Marvel Comics,-,173,61,1011436,-,-,-,-,-,-,-
10,Agent Bob,good,Male,brown,Human,Brown,Marvel Comics,-,178,81,1011437,10,8,13,5,5,20,61
11,Agent Zero,good,Male,-,-,-,Marvel Comics,-,191,104,1009150,75,28,38,80,72,95,388
12,Air-Walker,bad,Male,blue,-,White,Marvel Comics,-,188,108,1011438,50,85,100,85,100,40,460
13,Ajax,bad,Male,brown,Cyborg,Black,Marvel Comics,-,193,90,1011439,-,-,-,-,-,-,-
14,Alan Scott,good,Male,blue,-,Blond,DC Comics,-,180,90,1011440,63,80,23,90,98,32,386
15,Alex Mercer,bad,Male,-,Human,-,Wildstorm,-,-99,-99,1011441,-,-,-,-,-,-,-
16,Alex Woolsly,good,Male,-,-,-,NBC - Heroes,-,-99,-99,1011442,1,1,1,1,0,1,5
17,Alfred Pennyworth,good,Male,blue,Human,Black,DC Comics,-,178,72,1011443,63,10,17,10,7,55,162
18,Alien,bad,Male,-,Xenomorph XX121,No Hair,Dark Horse Comics,black,244,169,1011444,-,-,-,-,-,-,-
19,Allan Quatermain,good,Male,-,-,-,Wildstorm,-,-99,-99,1011445,1,1,1,1,0,1,5
20,Amazo,bad,Male,red,Android,-,DC Comics,-,257,173,1011446,75,100,100,100,100,100,575
21,Ammo,bad,Male,brown,Human,Black,Marvel Comics,-,188,101,1011447,1,1,1,1,0,1,5
22,Ando Masahashi,good,Male,-,-,-,NBC - Heroes,-,-99,-99,1011448,1,1,1,1,0,1,5
23,Angel,good,Male,blue,-,Blond,Marvel Comics,-,183,68,1011449,63,13,46,64,17,42,245
24,Angel Dust,good,Female,yellow,Mutant,Black,Marvel Comics,-,165,57,1011450,-,-,-,-,-,-,-
25,Angel Salvadore,good,Female,brown,-,Black,Marvel Comics,-,163,54,1011451,38,10,28,28,46,60,210
26,Angela,bad,Female,-,-,-,Image Comics,-,-99,-99,1011452,1,1,1,1,0,1,5
27,Animal Man,good,Male,blue,Human,Blond,DC Comics,-,183,83,1011453,56,48,47,85,73,80,389
28,Annihilus,bad,Male,green,-,No Hair,Marvel Comics,-,180,90,1009154,75,80,47,56,59,64,381
29,Ant-Man,good,Male,blue,Human,Blond,Marvel Comics,-,211,122,1011454,100,10,23,28,32,32,225
30,Ant-Man II,good,Male,blue,Human,Blond,Marvel Comics,-,183,86,1011455,63,10,23,28,32,28,184
31,Anti-Monitor,bad,Male,yellow,God / Eternal,No Hair,DC Comics,-,61,-99,1011456,88,90,38,90,100,90,496
32,Anti-Spawn,bad,Male,-,-,-,Image Comics,-,-99,-99,1011457,1,1,1,1,0,1,5
33,Anti-Venom,-,Male,blue,Symbiote,Blond,Marvel Comics,-,229,358,1011458,75,60,65,90,85,84,459
34,Apocalypse,bad,Male,red,Mutant,Black,Marvel Comics,grey,213,135,1009156,100,100,33,100,100,60,493
35,Aquababy,good,Male,blue,-,Blond,DC Comics,-,-99,-99,1011459,10,16,12,14,37,14,103
36,Aqualad,good,Male,blue,Atlantean,Black,DC Comics,-,178,106,1011460,63,44,42,75,76,60,360
37,Aquaman,good,Male,blue,Atlantean,Blond,DC Comics,-,185,146,1011461,63,80,50,80,65,80,418
38,Arachne,good,Female,blue,Human,Blond,Marvel Comics,-,175,63,1010773,1,1,1,1,0,1,5
39,Archangel,good,Male,blue,Mutant,Blond,Marvel Comics,blue,183,68,1009159,63,13,58,64,28,42,268
40,Arclight,bad,Female,violet,-,Purple,Marvel Comics,-,173,57,1009160,38,63,23,42,52,70,288
41,Ardina,good,Female,white,Alien,Orange,Marvel Comics,gold,193,98,1011462,-,-,-,-,-,-,-
42,Ares,good,Male,brown,-,Brown,Marvel Comics,-,185,270,1010784,75,82,35,80,62,101,435
43,Ariel,good,Female,purple,-,Pink,Marvel Comics,-,165,59,1011463,50,10,12,14,72,28,186
44,Armor,good,Female,black,-,Black,Marvel Comics,-,163,50,1011464,50,63,12,80,55,54,314
45,Arsenal,good,Male,-,Human,-,DC Comics,-,-99,-99,1011465,1,1,1,1,0,1,5
46,Astro Boy,good,Male,brown,-,Black,,-,-99,-99,1011466,1,1,1,1,0,1,5
47,Atlas,good,Male,brown,Mutant,Red,Marvel Comics,-,183,101,1011467,50,80,23,99,69,42,363
48,Atom,good,Male,blue,-,Red,DC Comics,-,178,68,1011468,1,1,1,1,0,1,5
49,Atom Girl,good,Female,black,-,Black,DC Comics,-,168,54,1011469,38,10,23,28,38,42,179
50,Atom II,good,Male,brown,Human,Auburn,DC Comics,-,183,81,1011470,1,1,1,1,0,1,5
51,Atom III,good,Male,-,-,Red,DC Comics,-,-99,-99,1011471,1,1,1,1,0,1,5
52,Atom IV,good,Male,brown,-,Black,DC Comics,-,-99,72,1011472,1,1,1,1,0,1,5
53,Aurora,good,Female,blue,Mutant,Black,Marvel Comics,-,180,63,1009163,50,15,83,56,69,56,329
54,Azazel,bad,Male,yellow,Neyaphem,Black,Marvel Comics,red,183,67,1011473,50,11,47,95,87,80,370
55,Azrael,good,Male,brown,Human,Black,DC Comics,-,-99,-99,1011474,63,18,17,20,35,80,233
56,Aztar,good,Male,-,-,-,DC Comics,-,-99,-99,1011475,1,1,1,1,0,1,5
57,Bane,bad,Male,-,Human,-,DC Comics,-,203,180,1011476,88,53,23,56,51,95,366
58,Banshee,good,Male,green,Human,Strawberry Blond,Marvel Comics,-,183,77,1009168,50,10,58,42,60,70,290
59,Bantam,good,Male,brown,-,Black,Marvel Comics,-,165,54,1011477,25,53,23,54,21,56,232
60,Batgirl,good,Female,-,-,-,DC Comics,-,-99,-99,1011478,-,-,-,-,-,-,-
61,Batgirl III,good,Female,-,-,-,DC Comics,-,-99,-99,1011479,1,1,1,1,0,1,5
62,Batgirl IV,good,Female,green,Human,Black,DC Comics,-,165,52,1011480,69,12,27,56,42,100,306
63,Batgirl V,good,Female,-,-,-,DC Comics,-,-99,-99,1011481,1,1,1,1,0,1,5
64,Batgirl VI,good,Female,blue,-,Blond,DC Comics,-,168,61,1011482,75,10,23,28,22,80,238
65,Batman,good,Male,blue,Human,black,DC Comics,-,188,95,1011483,100,18,27,42,37,100,324
66,Batman II,good,Male,blue,Human,Black,DC Comics,-,178,79,1011484,88,11,33,28,36,100,296
67,Battlestar,good,Male,brown,-,Black,Marvel Comics,-,198,133,1011485,50,53,35,74,48,74,334
68,Batwoman V,good,Female,green,Human,Red,DC Comics,-,178,-99,1011486,-,-,-,-,-,-,-
69,Beak,good,Male,black,-,White,Marvel Comics,-,175,63,1009174,1,1,1,1,0,1,5
70,Beast,good,Male,blue,Mutant,Blue,Marvel Comics,blue,180,181,1009175,88,48,35,56,35,84,346
71,Beast Boy,good,Male,green,Human,Green,DC Comics,green,173,68,1011487,50,28,50,70,79,40,317
72,Beetle,bad,Male,-,-,-,Marvel Comics,-,-99,-99,1011488,1,1,1,1,0,1,5
73,Ben 10,good,Male,-,-,-,DC Comics,-,-99,-99,1011489,10,7,8,10,90,40,165
74,Beta Ray Bill,good,Male,-,-,No Hair,Marvel Comics,-,201,216,1011490,63,80,35,95,100,84,457
75,Beyonder,good,Male,-,God / Eternal,-,Marvel Comics,-,-99,-99,1011138,88,100,23,100,100,56,467
76,Big Barda,bad,Female,blue,New God,Black,DC Comics,-,188,135,1011491,63,90,23,85,42,72,375
77,Big Daddy,good,Male,-,-,-,Icon Comics,-,-99,-99,1011492,38,10,12,32,22,64,178
78,Big Man,bad,Male,blue,-,Brown,Marvel Comics,-,165,71,1011493,75,12,23,28,19,70,227
79,Bill Harken,good,Male,-,Alpha,-,SyFy,-,-99,-99,1011494,63,36,33,60,23,40,255
80,Billy Kincaid,bad,Male,-,-,-,Image Comics,-,-99,-99,1011495,1,1,1,1,0,1,5
81,Binary,good,Female,blue,-,Blond,Marvel Comics,-,180,54,1011496,1,1,1,1,0,1,5
82,Bionic Woman,good,Female,blue,Cyborg,Black,,-,-99,-99,1011497,-,-,-,-,-,-,-
83,Bird-Brain,good,-,-,-,-,Marvel Comics,-,-99,-99,1011498,25,10,35,28,21,42,161
84,Bird-Man,bad,Male,-,Human,-,Marvel Comics,-,-99,-99,1011499,1,1,1,1,0,1,5
85,Bird-Man II,bad,Male,-,Human,-,Marvel Comics,-,-99,-99,1011500,1,1,1,1,0,1,5
86,Birdman,good,Male,-,God / Eternal,-,Hanna-Barbera,-,-99,-99,1011501,1,1,1,1,0,1,5
87,Bishop,good,Male,brown,Mutant,No Hair,Marvel Comics,-,198,124,1009182,63,14,23,75,85,65,325
88,Bizarro,neutral,Male,black,Bizarro,Black,DC Comics,white,191,155,1011502,75,95,100,100,95,85,550
89,Black Abbott,bad,Male,red,-,Black,Marvel Comics,-,-99,-99,1011503,1,1,1,1,0,1,5
90,Black Adam,bad,Male,brown,-,Black,DC Comics,-,191,113,1011504,88,100,92,100,89,56,525
91,Black Bolt,good,Male,blue,Inhuman,Black,Marvel Comics,-,188,95,1009184,75,67,100,84,100,56,482
92,Black Canary,good,Female,blue,Human,Blond,DC Comics,-,165,58,1011505,-,-,-,-,-,-,-
93,Black Cat,good,Female,green,Human,Blond,Marvel Comics,-,178,54,1009185,75,16,33,10,23,70,227
94,Black Flash,neutral,Male,-,God / Eternal,-,DC Comics,-,-99,-99,1011506,-,-,-,-,-,-,-
95,Black Goliath,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011507,1,1,1,1,0,1,5
96,Black Knight III,good,Male,brown,Human,Brown,Marvel Comics,-,183,86,1011508,63,10,8,70,43,70,264
97,Black Lightning,good,Male,brown,-,No Hair,DC Comics,-,185,90,1011509,50,11,53,28,70,75,287
98,Black Mamba,bad,Female,green,-,Black,Marvel Comics,-,170,52,1011510,75,10,35,42,78,65,305
99,Black Manta,bad,Male,black,Human,No Hair,DC Comics,-,188,92,1011511,-,-,-,-,-,-,-
100,Black Panther,good,Male,brown,Human,Black,Marvel Comics,-,183,90,1009187,88,16,30,60,41,100,335
101,Black Widow,good,Female,green,Human,Auburn,Marvel Comics,-,170,59,1009189,75,13,27,32,32,100,279
102,Black Widow II,good,Female,blue,-,Blond,Marvel Comics,-,170,61,1011512,1,1,1,1,0,1,5
103,Blackout,bad,Male,red,Demon,White,Marvel Comics,white,191,104,1011349,63,32,45,80,38,65,323
104,Blackwing,bad,Male,blue,-,Black,Marvel Comics,-,185,86,1011513,38,10,35,32,20,56,191
105,Blackwulf,-,Male,red,Alien,White,Marvel Comics,-,188,88,1011514,50,28,8,30,59,25,200
106,Blade,good,Male,brown,Vampire,Black,Marvel Comics,-,188,97,1009191,63,28,38,50,33,90,302
107,Blaquesmith,good,-,black,-,No Hair,Marvel Comics,-,-99,-99,1011515,1,1,1,1,0,1,5
108,Bling!,good,Female,-,-,-,Marvel Comics,-,168,68,1011516,69,14,12,90,52,28,265
109,Blink,good,Female,green,Mutant,Magenta,Marvel Comics,pink,165,56,1009197,50,8,20,28,55,64,225
110,Blizzard,bad,Male,-,-,-,Marvel Comics,-,-99,-99,1009198,1,1,1,1,0,1,5
111,Blizzard II,bad,Male,brown,-,Brown,Marvel Comics,-,175,77,1011517,38,10,27,42,47,56,220
112,Blob,bad,Male,brown,-,Brown,Marvel Comics,-,178,230,1009199,10,83,23,95,26,72,309
113,Bloodaxe,bad,Female,blue,Human,Brown,Marvel Comics,-,218,495,1011073,63,80,33,80,84,84,424
114,Bloodhawk,good,Male,black,Mutant,No Hair,Marvel Comics,-,-99,-99,1011518,50,10,50,80,66,64,320
115,Bloodwraith,bad,Male,white,-,No Hair,Marvel Comics,-,30.5,-99,1011519,1,1,1,1,0,1,5
116,Blue Beetle,good,Male,blue,-,Brown,DC Comics,-,-99,-99,1011520,1,1,1,1,0,1,5
117,Blue Beetle II,good,Male,blue,-,Brown,DC Comics,-,183,86,1011521,1,1,1,1,0,1,5
118,Blue Beetle III,good,Male,brown,Human,Black,DC Comics,-,-99,-99,1011522,50,34,58,80,97,30,349
119,Boba Fett,bad,Male,brown,Human / Clone,Black,George Lucas,-,183,-99,1011523,-,-,-,-,-,-,-
120,Bolt,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011524,1,1,1,1,0,1,5
121,Bomb Queen,bad,Female,-,-,-,Image Comics,-,-99,-99,1011525,1,1,1,1,0,1,5
122,Boom-Boom,good,Female,blue,Mutant,Blond,Marvel Comics,-,165,55,1011526,-,-,-,-,-,-,-
123,Boomer,good,Female,-,-,-,Marvel Comics,-,-99,-99,1009205,1,1,1,1,0,1,5
124,Booster Gold,good,Male,blue,Human,Blond,DC Comics,-,196,97,1011527,56,85,53,50,72,40,356
125,Box,good,Male,-,-,-,Marvel Comics,-,-99,-99,1009206,1,1,1,1,0,1,5
126,Box III,good,-,blue,-,Blond,Marvel Comics,-,193,110,1011528,1,1,1,1,0,1,5
127,Box IV,good,-,brown,-,Brown / Black,Marvel Comics,-,-99,-99,1011529,50,75,23,28,11,56,243
128,Brainiac,bad,Male,green,Android,No Hair,DC Comics,green,198,135,1011530,100,28,63,90,60,75,416
129,Brainiac 5,good,Male,green,-,Blond,DC Comics,-,170,61,1011531,100,10,23,28,60,32,253
130,Brother Voodoo,good,Male,brown,Human,Brown / White,Marvel Comics,-,183,99,1011090,1,1,1,1,0,1,5
131,Brundlefly,-,Male,-,Mutant,-,,-,193,-99,1011532,-,-,-,-,-,-,-
132,Buffy,good,Female,green,Human,Blond,Dark Horse Comics,-,157,52,1011533,-,-,-,-,-,-,-
133,Bullseye,bad,Male,blue,Human,blond,Marvel Comics,-,183,90,1009212,50,11,25,70,20,70,246
134,Bumblebee,good,Female,brown,Human,Black,DC Comics,-,170,59,1011534,63,28,25,10,45,35,206
135,Bumbleboy,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011535,1,1,1,1,0,1,5
136,Bushido,good,Male,-,Human,-,DC Comics,-,-99,-99,1011536,38,10,8,10,19,70,155
137,Cable,good,Male,blue,Mutant,White,Marvel Comics,-,203,158,1009214,88,48,23,56,100,80,395
138,Callisto,bad,Female,blue,-,Black,Marvel Comics,-,175,74,1009217,63,53,23,42,45,85,311
139,Cameron Hicks,good,Male,-,Alpha,-,SyFy,-,-99,-99,1011537,50,10,23,28,51,70,232
140,Cannonball,good,Male,blue,-,Blond,Marvel Comics,-,183,81,1009219,50,28,67,99,79,56,379
141,Captain America,good,Male,blue,Human,blond,Marvel Comics,-,188,108,1009220,63,19,35,56,46,100,319
142,Captain Atom,good,Male,blue,Human / Radiation,Silver,DC Comics,silver,193,90,1011538,1,1,1,1,0,1,5
143,Captain Britain,good,Male,blue,Human,Blond,Marvel Comics,-,198,116,1009223,75,77,50,60,31,80,373
144,Captain Cold,neutral,Male,brown,Human,Brown,DC Comics,-,-99,-99,1011539,-,-,-,-,-,-,-
145,Captain Epic,good,Male,blue,-,Brown,Team Epic TV,-,188,-99,1011540,1,1,1,1,0,1,5
146,Captain Hindsight,good,Male,-,Human,Black,South Park,-,-99,-99,1011541,-,-,-,-,-,-,-
147,Captain Mar-vell,good,Male,blue,-,Blond,Marvel Comics,-,188,108,1011542,1,1,1,1,0,1,5
148,Captain Marvel,good,Female,blue,Human-Kree,Blond,Marvel Comics,-,180,74,1011543,100,100,67,95,62,56,480
149,Captain Marvel II,good,Male,blue,Human,Black,DC Comics,-,175,74,1011544,75,81,27,90,34,56,363
150,Captain Midnight,good,Male,-,Human,-,Dark Horse Comics,-,-99,-99,1011545,-,-,-,-,-,-,-
151,Captain Planet,good,Male,red,God / Eternal,Green,Marvel Comics,-,-99,-99,1011546,1,1,1,1,0,1,5
152,Captain Universe,good,-,-,God / Eternal,-,Marvel Comics,-,-99,-99,1011027,1,1,1,1,0,1,5
153,Carnage,bad,Male,green,Symbiote,Red,Marvel Comics,-,185,86,1009227,63,63,70,84,81,90,451
154,Cat,good,Female,blue,-,Blond,Marvel Comics,-,173,61,1011547,1,1,1,1,0,1,5
155,Cat II,good,Female,-,-,-,Marvel Comics,-,-99,-99,1011548,1,1,1,1,0,1,5
156,Catwoman,good,Female,green,Human,Black,DC Comics,-,175,61,1011549,63,13,33,28,24,85,246
157,Cecilia Reyes,good,-,brown,-,Brown,Marvel Comics,-,170,62,1009536,1,1,1,1,0,1,5
158,Century,good,Male,white,Alien,White,Marvel Comics,grey,201,97,1011550,88,80,53,64,74,100,459
159,Cerebra,good,Female,-,Mutant,-,Marvel Comics,-,-99,-99,1011551,1,1,1,1,0,1,5
160,Chamber,good,Male,brown,Mutant,Brown,Marvel Comics,-,175,63,1009233,50,10,20,80,57,64,281
161,Chameleon,bad,Male,-,-,-,DC Comics,-,-99,-99,1009234,88,10,12,28,28,28,194
162,Changeling,bad,Male,brown,-,Black,Marvel Comics,-,180,81,1011552,63,10,23,42,64,64,266
163,Cheetah,bad,Female,green,Human,Blond,DC Comics,-,163,50,1011553,-,-,-,-,-,-,-
164,Cheetah II,bad,Female,green,Human,Brown,DC Comics,-,170,55,1011554,1,1,1,1,0,1,5
165,Cheetah III,bad,Female,brown,Human,Brown,DC Comics,-,175,54,1011555,1,1,1,1,0,1,5
166,Chromos,bad,Male,brown,-,Red / Grey,Team Epic TV,-,185,86,1011556,1,1,1,1,0,1,5
167,Chuck Norris,good,Male,-,-,-,,-,178,-99,1011557,50,80,47,56,42,99,374
168,Citizen Steel,good,Male,green,Human,Red,DC Comics,-,183,170,1011558,-,-,-,-,-,-,-
169,Claire Bennet,good,Female,blue,-,Blond,NBC - Heroes,-,-99,-99,1011559,38,9,12,100,73,28,260
170,Clea,good,-,-,-,White,Marvel Comics,-,-99,-99,1009239,1,1,1,1,0,1,5
171,Cloak,good,Male,brown,-,black,Marvel Comics,-,226,70,1009241,63,10,47,64,74,56,314
172,Clock King,bad,Male,blue,Human,Black,DC Comics,-,178,78,1011560,-,-,-,-,-,-,-
173,Cogliostro,bad,Male,-,-,-,Image Comics,-,-99,-99,1011561,1,1,1,1,0,1,5
174,Colin Wagner,good,Male,grey,-,Brown,HarperCollins,-,-99,-99,1011562,1,1,1,1,0,1,5
175,Colossal Boy,good,Male,-,-,-,DC Comics,-,-99,-99,1011563,1,1,1,1,0,1,5
176,Colossus,good,Male,silver,Mutant,Black,Marvel Comics,-,226,225,1009243,63,83,33,100,46,80,405
177,Copycat,neutral,Female,red,Mutant,White,Marvel Comics,blue,183,67,1011564,-,-,-,-,-,-,-
178,Corsair,good,Male,brown,-,Brown,Marvel Comics,-,191,79,1009247,1,1,1,1,0,1,5
179,Cottonmouth,bad,Male,brown,Human,Black,Marvel Comics,-,183,99,1011362,-,-,-,-,-,-,-
180,Crimson Crusader,good,Male,blue,-,Strawberry Blond,Marvel Comics,-,-99,-99,1011565,1,1,1,1,0,1,5
181,Crimson Dynamo,good,Male,brown,-,No Hair,Marvel Comics,-,180,104,1009251,-,-,-,-,-,-,-
182,Crystal,good,Female,green,Inhuman,Red,Marvel Comics,-,168,50,1009255,63,16,12,14,57,56,218
183,Curse,bad,Male,-,-,-,Image Comics,-,-99,-99,1011566,1,1,1,1,0,1,5
184,Cy-Gor,bad,Male,-,-,-,Image Comics,-,-99,-99,1011567,1,1,1,1,0,1,5
185,Cyborg,good,Male,brown,Cyborg,Black,DC Comics,-,198,173,1011568,75,53,42,85,72,64,391
186,Cyborg Superman,bad,Male,blue,Cyborg,Black,DC Comics,-,-99,-99,1011569,75,93,92,100,100,80,540
187,Cyclops,good,Male,brown,Mutant,Brown,Marvel Comics,-,191,88,1009257,75,10,23,42,76,80,306
188,Cypher,good,-,blue,-,Blond,Marvel Comics,-,175,68,1011385,1,1,1,1,0,1,5
189,DL Hawkins,good,Male,-,-,-,NBC - Heroes,-,-99,-99,1011584,50,12,12,56,48,56,234
190,Dagger,good,Female,blue,-,Blond,Marvel Comics,-,165,52,1009258,63,10,35,42,52,70,272
191,Danny Cooper,good,Male,brown,-,Blond,HarperCollins,-,-99,-99,1011570,1,1,1,1,0,1,5
192,Daphne Powell,good,Female,-,-,-,ABC Studios,-,-99,-99,1011571,38,10,8,10,56,10,132
193,Daredevil,good,Male,blue,Human,Red,Marvel Comics,-,183,90,1009262,75,13,27,28,57,95,295
194,Darkhawk,good,Male,brown,Human,Brown,Marvel Comics,-,185,81,1011020,50,32,33,70,74,64,323
195,Darkman,good,Male,-,-,-,Universal Studios,-,-99,-99,1011572,75,14,23,85,12,28,237
196,Darkseid,bad,Male,red,New God,No Hair,DC Comics,grey,267,817,1011573,88,100,23,100,100,95,506
197,Darkside,bad,-,-,-,-,,-,-99,-99,1011574,1,1,1,1,0,1,5
198,Darkstar,good,Female,brown,Mutant,Blond,Marvel Comics,-,168,56,1009266,38,8,35,42,52,64,239
199,Darth Maul,bad,Male,yellow / red,Dathomirian Zabrak,-,George Lucas,red / black,170,-99,1011575,-,-,-,-,-,-,-
200,Darth Vader,bad,Male,yellow,Cyborg,No Hair,George Lucas,-,198,135,1011576,-,-,-,-,-,-,-
201,Dash,good,Male,blue,Human,Blond,Dark Horse Comics,-,122,27,1011577,9,4,83,42,12,28,178
202,Data,good,Male,yellow,Android,Brown,Star Trek,-,-99,-99,1011578,-,-,-,-,-,-,-
203,Dazzler,good,Female,blue,Mutant,Blond,Marvel Comics,-,173,52,1009267,63,10,35,42,64,56,270
204,Deadman,good,Male,blue,Human,Black,DC Comics,-,183,90,1011579,50,10,33,100,100,42,335
205,Deadpool,neutral,Male,brown,Mutant,No Hair,Marvel Comics,-,188,95,1009268,50,15,30,100,100,100,395
206,Deadshot,bad,Male,brown,Human,Brown,DC Comics,-,185,91,1011580,50,10,23,28,47,80,238
207,Deathlok,good,Male,brown,Cyborg,Grey,Marvel Comics,-,193,178,1010890,69,32,30,70,40,60,301
208,Deathstroke,neutral,Male,blue,Human,White,DC Comics,-,193,101,1011581,75,30,35,100,36,90,366
209,Demogoblin,bad,Male,red,Demon,No Hair,Marvel Comics,-,185,95,1011071,50,48,42,35,54,60,289
210,Destroyer,bad,Male,-,-,-,Marvel Comics,-,188,383,1011582,50,95,58,98,90,70,461
211,Diamondback,bad,Male,brown,Human,Black,Marvel Comics,-,193,90,1011583,-,-,-,-,-,-,-
212,Doc Samson,good,Male,blue,Human / Radiation,Green,Marvel Comics,-,198,171,1009275,75,80,33,80,36,70,374
213,Doctor Doom,bad,Male,brown,Human,Brown,Marvel Comics,-,201,187,1009281,100,32,20,100,93,84,429
214,Doctor Doom II,bad,Male,brown,-,Brown,Marvel Comics,-,201,132,1011585,1,32,1,1,0,1,36
215,Doctor Fate,good,Male,blue,Human,Blond,DC Comics,-,188,89,1011586,81,16,25,80,100,50,352
216,Doctor Octopus,bad,Male,brown,Human,Brown,Marvel Comics,-,175,110,1009276,1,1,1,1,0,1,5
217,Doctor Strange,good,Male,grey,Human,Black,Marvel Comics,-,188,81,1009282,100,10,12,84,100,60,366
218,Domino,good,Female,blue,Human,Black,Marvel Comics,white,173,54,1009277,63,10,27,28,49,74,251
219,Donatello,good,Male,green,Mutant,No Hair,IDW Publishing,green,-99,-99,1011587,-,-,-,-,-,-,-
220,Donna Troy,good,Female,blue,Amazon,Black,DC Comics,-,175,63,1011588,1,1,1,1,0,1,5
221,Doomsday,bad,Male,red,Alien,White,DC Comics,-,244,412,1011589,88,80,67,120,100,90,545
222,Doppelganger,bad,Male,white,-,No Hair,Marvel Comics,-,196,104,1011590,8,63,60,95,62,84,372
223,Dormammu,bad,Male,yellow,-,No Hair,Marvel Comics,-,185,-99,1009280,88,95,83,100,100,80,546
224,Dr Manhattan,good,Male,white,Human / Cosmic,No Hair,DC Comics,blue,-99,-99,1011591,88,32,42,95,100,42,399
225,Drax the Destroyer,good,Male,red,Human / Altered,No Hair,Marvel Comics,green,193,306,1011592,-,-,-,-,-,-,-
226,ERG-1,good,Male,-,-,-,DC Comics,-,-99,-99,1011598,1,1,1,1,0,1,5
227,Ego,bad,-,-,-,-,Marvel Comics,-,-99,-99,1011060,88,80,83,99,71,28,449
228,Elastigirl,good,Female,brown,Human,Brown,Dark Horse Comics,-,168,56,1011593,38,32,12,90,20,14,206
229,Electro,bad,Male,blue,Human,Auburn,Marvel Comics,-,180,74,1009287,69,10,50,56,67,64,316
230,Elektra,good,Female,blue,Human,Black,Marvel Comics,-,175,59,1009288,63,11,30,28,59,100,291
231,Elle Bishop,bad,Female,blue,-,Blond,NBC - Heroes,-,-99,-99,1011594,50,8,12,42,63,42,217
232,Elongated Man,good,Male,blue,-,Red,DC Comics,-,185,80,1011595,38,10,27,90,41,42,248
233,Emma Frost,good,Female,blue,-,Blond,Marvel Comics,-,178,65,1009310,75,63,35,90,82,42,387
234,Enchantress,good,Female,blue,Human,Blond,DC Comics,-,168,57,1011596,-,-,-,-,-,-,-
235,Energy,good,Female,-,-,-,HarperCollins,-,-99,-99,1011597,1,1,1,1,0,1,5
236,Ethan Hunt,good,Male,brown,Human,Brown,,-,168,-99,1011599,-,-,-,-,-,-,-
237,Etrigan,neutral,Male,red,Demon,No Hair,DC Comics,yellow,193,203,1011600,-,-,-,-,-,-,-
238,Evil Deadpool,bad,Male,white,Mutant,Red,Marvel Comics,-,188,95,1011601,-,-,-,-,-,-,-
