Id,Name,Alignment,Gender,Eyecolor,Race,Haircolor,Publisher,Skincolor,Height,Weight,Number,Intelligence,Strength,Speed,Durability,Power,Combat,Total
239,Evilhawk,bad,Male,red,Alien,Black,Marvel Comics,green,191,106,1011602,50,32,33,70,78,64,327
240,Exodus,bad,Male,blue,Mutant,Black,Marvel Comics,red,183,88,1009295,63,81,28,28,100,70,370
241,Fabian Cortez,bad,-,blue,-,Brown,Marvel Comics,-,196,96,1009248,1,1,1,1,0,1,5
242,Falcon,good,Male,brown,Human,Black,Marvel Comics,-,188,108,1009297,38,13,50,28,22,64,215
243,Fallen One II,bad,Male,black,-,Blue,Marvel Comics,-,-99,-99,1011603,88,85,83,100,100,56,512
244,Faora,bad,Female,-,Kryptonian,-,DC Comics,-,-99,-99,1011604,88,95,75,100,87,90,535
245,Feral,good,-,yellow (without irises),-,Orange / White,Marvel Comics,-,175,50,1011213,38,28,45,28,20,70,229
246,Fighting Spirit,good,Female,-,-,Red,DC Comics,-,-99,-99,1011605,1,1,1,1,0,1,5
247,Fin Fang Foom,good,Male,red,Kakarantharaian,No Hair,Marvel Comics,green,975,18,1009303,50,81,23,100,68,70,392
248,Firebird,good,Female,brown,-,Black,Marvel Comics,-,165,56,1010868,38,8,40,14,90,42,232
249,Firelord,good,-,white,-,Yellow,Marvel Comics,-,193,99,1009305,38,63,75,90,48,28,342
250,Firestar,good,Female,green,Mutant,Red,Marvel Comics,-,173,56,1009306,50,8,54,55,71,32,270
251,Firestorm,good,Male,brown,-,Black,DC Comics,-,-99,-99,1011606,50,53,58,56,100,42,359
252,Fixer,bad,-,red,-,No Hair,Marvel Comics,-,-99,-99,1011607,1,1,1,1,0,1,5
253,Flash,good,Male,blue,Human,Brown / White,DC Comics,-,180,81,1011608,-,-,-,-,-,-,-
254,Flash Gordon,good,Male,-,-,-,,-,-99,-99,1011609,1,1,1,1,0,1,5
255,Flash II,good,Male,blue,Human,Blond,DC Comics,-,183,88,1011610,63,10,100,60,66,32,331
256,Flash III,good,Male,-,Human,-,DC Comics,-,183,86,1011611,63,10,100,60,83,32,348
257,Flash IV,good,Male,yellow,Human,Auburn,DC Comics,-,157,52,1011612,63,10,100,32,59,48,312
258,Forge,good,-,brown,-,Black,Marvel Comics,-,183,81,1009309,63,10,12,28,12,48,173
259,Franklin Richards,good,Male,blue,Mutant,Blond,Marvel Comics,-,142,45,1009539,1,1,1,1,0,1,5
260,Franklin Storm,good,-,blue,-,Grey,Marvel Comics,-,188,92,1010980,38,10,1,1,0,10,60
261,Frenzy,bad,Female,brown,-,Black,Marvel Comics,-,211,104,1011613,63,53,35,100,38,52,341
262,Frigga,good,Female,blue,-,White,Marvel Comics,-,180,167,1011614,1,1,1,1,0,1,5
263,Galactus,neutral,Male,black,Cosmic Entity,Black,Marvel Comics,-,876,16,1009312,100,100,83,100,100,70,553
264,Gambit,good,Male,red,Mutant,Brown,Marvel Comics,-,185,81,1009313,63,10,23,28,55,84,263
265,Gamora,good,Female,yellow,Zen-Whoberian,Black,Marvel Comics,green,183,77,1010763,-,-,-,-,-,-,-
266,Garbage Man,good,Male,-,Mutant,-,DC Comics,-,-99,-99,1011615,1,1,1,1,0,1,5
267,Gary Bell,good,Male,-,Alpha,-,SyFy,-,-99,-99,1011616,63,5,8,10,54,10,150
268,General Zod,bad,Male,black,Kryptonian,Black,DC Comics,-,-99,-99,1011617,94,100,96,100,94,95,579
269,Genesis,good,Male,blue,-,Blond,Marvel Comics,-,185,86,1009317,1,1,1,1,0,1,5
270,Ghost Rider,good,Male,red,Demon,No Hair,Marvel Comics,-,188,99,1011618,50,55,25,100,70,60,360
271,Ghost Rider II,good,-,-,-,-,Marvel Comics,-,-99,-99,1011619,1,1,1,1,0,1,5
272,Giant-Man,good,Male,-,Human,-,Marvel Comics,-,-99,-99,1011620,1,1,1,1,0,1,5
273,Giant-Man II,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011621,1,1,1,1,0,1,5
274,Giganta,bad,Female,green,-,Red,DC Comics,-,62.5,630,1011622,81,89,23,85,32,42,352
275,Gladiator,neutral,Male,blue,Strontian,Blue,Marvel Comics,purple,198,268,1011623,-,-,-,-,-,-,-
276,Goblin Queen,bad,Female,green,-,Red,Marvel Comics,-,168,50,1009322,75,10,23,28,65,56,257
277,Godzilla,bad,-,-,Kaiju,-,,grey,108,,1011624,-,-,-,-,-,-,-
278,Gog,bad,Male,-,-,-,DC Comics,-,-99,-99,1011625,50,34,47,72,39,56,298
279,Goku,good,Male,-,Saiyan,-,Shueisha,-,175,62,1011626,56,100,75,90,100,100,521
280,Goliath,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011627,1,1,1,1,0,1,5
281,Goliath IV,good,Male,brown,-,Black,Marvel Comics,-,183,90,1011628,1,1,1,1,0,1,5
282,Gorilla Grodd,bad,Male,yellow,Gorilla,Black,DC Comics,-,198,270,1011629,-,-,-,-,-,-,-
283,Granny Goodness,bad,Female,blue,-,White,DC Comics,-,178,115,1011630,1,1,1,1,0,1,5
284,Gravity,good,Male,blue,Human,Brown,Marvel Comics,-,178,79,1010702,50,32,33,40,72,30,257
285,Greedo,bad,Male,purple,Rodian,-,George Lucas,green,170,-99,1011631,-,-,-,-,-,-,-
286,Green Arrow,good,Male,green,Human,Blond,DC Comics,-,188,88,1011632,75,12,35,28,26,90,266
287,Green Goblin,bad,Male,blue,Human,Auburn,Marvel Comics,-,180,83,1011633,75,48,35,48,38,28,272
288,Green Goblin II,bad,Male,blue,-,Auburn,Marvel Comics,-,178,77,1011634,75,55,37,50,38,26,281
289,Green Goblin III,good,Male,-,-,-,Marvel Comics,-,183,88,1011635,1,1,1,1,0,1,5
290,Green Goblin IV,good,Male,green,-,Brown,Marvel Comics,-,178,79,1011636,1,1,1,1,0,1,5
291,Groot,good,Male,yellow,Flora Colossus,-,Marvel Comics,-,701,4,1010743,75,85,33,70,92,64,419
292,Guardian,good,Male,brown,Human,Black,Marvel Comics,-,-99,-99,1009330,1,1,1,1,0,1,5
293,Guy Gardner,good,Male,blue,Human-Vuldarian,Red,DC Comics,-,188,95,1011637,38,80,27,64,97,64,370
294,Hal Jordan,good,Male,brown,Human,Brown,DC Comics,-,188,90,1011638,63,90,53,64,100,56,426
295,Han Solo,good,Male,brown,Human,Brown,George Lucas,-,183,79,1011639,-,-,-,-,-,-,-
296,Hancock,good,Male,brown,Human,Black,Sony Pictures,-,188,-99,1011640,50,85,65,100,70,28,398
297,Harley Quinn,bad,Female,blue,Human,Blond,DC Comics,-,170,63,1011641,81,12,23,42,30,80,268
298,Harry Potter,good,Male,green,Human,Black,J. K. Rowling,-,-99,-99,1011642,-,-,-,-,-,-,-
299,Havok,good,Male,blue,Mutant,Blond,Marvel Comics,-,183,79,1009337,63,10,25,60,71,45,274
300,Hawk,good,Male,red,-,Brown,DC Comics,-,185,89,1011643,38,38,35,95,36,42,284
301,Hawkeye,good,Male,blue,Human,Blond,Marvel Comics,-,191,104,1009338,50,12,23,14,26,80,205
302,Hawkeye II,good,Female,blue,Human,Black,Marvel Comics,-,165,57,1011644,50,6,8,10,24,50,148
303,Hawkgirl,good,Female,green,-,Red,DC Comics,-,175,61,1011645,50,28,53,99,74,72,376
304,Hawkman,good,Male,blue,-,Brown,DC Comics,-,185,88,1011646,1,1,1,1,0,1,5
305,Hawkwoman,good,Female,green,-,Red,DC Comics,-,175,54,1011647,-,-,-,-,-,-,-
306,Hawkwoman II,good,Female,-,-,-,DC Comics,-,-99,-99,1011648,1,1,1,1,0,1,5
307,Hawkwoman III,good,Female,blue,-,Red,DC Comics,-,170,65,1011649,1,1,1,1,0,1,5
308,Heat Wave,bad,Male,blue,Human,No Hair,DC Comics,-,180,81,1011650,-,-,-,-,-,-,-
309,Hela,bad,Female,green,Asgardian,Black,Marvel Comics,-,213,225,1011651,-,-,-,-,-,-,-
310,Hellboy,good,Male,gold,Demon,Black,Dark Horse Comics,-,259,158,1011652,63,53,23,85,30,75,329
311,Hellcat,good,Female,blue,Human,Red,Marvel Comics,-,173,61,1011653,50,10,23,42,18,70,213
312,Hellstorm,good,Male,red,-,Red,Marvel Comics,-,185,81,1011654,1,1,1,1,0,1,5
313,Hercules,good,Male,blue,Demi-God,Brown,Marvel Comics,-,196,146,1009343,63,100,46,85,67,100,461
314,Hiro Nakamura,good,Male,-,-,-,NBC - Heroes,-,-99,-99,1011655,1,1,1,1,0,1,5
315,Hit-Girl,good,Female,-,Human,-,Icon Comics,-,-99,-99,1011656,10,8,23,14,21,56,132
316,Hobgoblin,bad,Male,blue,-,Grey,Marvel Comics,-,180,83,1011657,1,1,1,1,0,1,5
317,Hollow,good,Female,blue,-,Red,Marvel Comics,-,170,-99,1011658,1,1,1,1,0,1,5
318,Hope Summers,good,Female,green,-,Red,Marvel Comics,-,168,48,1011428,63,10,12,32,89,75,281
319,Howard the Duck,good,Male,brown,-,Yellow,Marvel Comics,-,79,18,1011659,1,1,1,1,0,1,5
320,Hulk,good,Male,green,Human / Radiation,Green,Marvel Comics,green,244,630,1009351,88,100,47,100,41,85,461
321,Human Torch,good,Male,blue,Human / Radiation,Blond,Marvel Comics,-,178,77,1009356,56,10,63,70,74,42,315
322,Huntress,good,Female,blue,-,Black,DC Comics,-,180,59,1011660,69,10,23,28,34,95,259
323,Husk,good,Female,blue,Mutant,Blond,Marvel Comics,-,170,58,1009357,63,63,35,78,53,64,356
324,Hybrid,good,Male,brown,Symbiote,Black,Marvel Comics,-,175,77,1011661,-,-,-,-,-,-,-
325,Hydro-Man,bad,Male,brown,-,Brown,Marvel Comics,-,188,119,1009360,38,13,25,80,66,50,272
326,Hyperion,good,Male,blue,Eternal,Red,Marvel Comics,-,183,207,1011662,63,95,75,95,58,72,458
327,Iceman,good,Male,brown,Mutant,Brown,Marvel Comics,-,173,65,1009362,63,32,53,100,100,64,412
328,Impulse,good,Male,yellow,Human,Auburn,DC Comics,-,170,65,1011663,50,10,100,60,63,60,343
329,Indiana Jones,good,Male,-,Human,-,George Lucas,-,183,79,1011664,-,-,-,-,-,-,-
330,Indigo,neutral,Female,-,Alien,Purple,DC Comics,-,-99,-99,1011665,-,-,-,-,-,-,-
331,Ink,good,Male,blue,Mutant,No Hair,Marvel Comics,-,180,81,1011293,38,28,17,40,66,50,239
332,Invisible Woman,good,Female,blue,Human / Radiation,Blond,Marvel Comics,-,168,54,1009366,69,10,27,70,74,56,306
333,Iron Fist,good,Male,blue,Human,Blond,Marvel Comics,-,180,79,1011666,75,23,35,42,43,100,318
334,Iron Man,good,Male,blue,Human,Black,Marvel Comics,-,198,191,1009368,100,85,58,85,100,64,492
335,Iron Monger,bad,Male,blue,-,No Hair,Marvel Comics,-,-99,2,1011667,88,63,25,90,57,56,379
336,Isis,good,Female,-,-,-,DC Comics,-,-99,-99,1011668,75,48,75,46,43,56,343
337,JJ Powell,good,Male,-,-,-,ABC Studios,-,-99,-99,1011682,88,10,8,10,14,10,140
338,Jack Bauer,good,Male,-,-,-,,-,-99,-99,1011669,1,1,1,1,0,1,5
339,Jack of Hearts,good,Male,blue / white,Human,Brown,Marvel Comics,-,155,79,1011670,63,55,100,30,70,30,348
340,Jack-Jack,good,Male,blue,Human,Brown,Dark Horse Comics,-,71,14,1011671,-,-,-,-,-,-,-
341,James Bond,good,Male,blue,Human,Blond,Titan Books,-,183,-99,1011672,-,-,-,-,-,-,-
342,James T. Kirk,good,Male,hazel,Human,Brown,Star Trek,-,178,77,1011673,-,-,-,-,-,-,-
343,Jar Jar Binks,good,Male,yellow,Gungan,-,George Lucas,orange / white,193,-99,1011674,-,-,-,-,-,-,-
344,Jason Bourne,good,Male,-,Human,-,,-,-99,-99,1011675,-,-,-,-,-,-,-
345,Jean Grey,good,Female,green,Mutant,Red,Marvel Comics,-,168,52,1009327,100,80,67,100,100,70,517
346,Jennifer Kale,good,Female,blue,-,Blond,Marvel Comics,-,168,55,1011677,75,10,35,42,61,72,295
347,Jesse Quick,good,Female,-,Human,-,DC Comics,-,-99,-99,1011678,-,-,-,-,-,-,-
348,Jessica Cruz,good,Female,green,Human,Brown,DC Comics,-,-99,-99,1011679,-,-,-,-,-,-,-
349,Jessica Jones,good,Female,brown,Human,Brown,Marvel Comics,-,170,56,1009378,-,-,-,-,-,-,-
350,Jessica Sanders,good,Female,-,-,-,NBC - Heroes,-,-99,-99,1011680,1,1,1,1,0,1,5
351,Jigsaw,bad,Male,blue,-,Black,Marvel Comics,-,188,113,1009374,1,1,1,1,0,1,5
352,Jim Powell,good,Male,-,-,-,ABC Studios,-,-99,-99,1011681,38,38,23,80,23,20,222
353,Johann Krauss,good,Male,-,-,-,Dark Horse Comics,-,-99,-99,1011683,1,1,1,1,0,1,5
354,John Constantine,good,Male,blue,Human,Blond,DC Comics,-,183,-99,1011684,-,-,-,-,-,-,-
355,John Stewart,good,Male,green,Human,Black,DC Comics,-,185,90,1011685,50,80,27,64,94,54,369
356,John Wraith,good,Male,brown,-,Black,Marvel Comics,-,183,88,1009721,75,12,35,28,65,80,295
357,Joker,bad,Male,green,Human,Green,DC Comics,white,196,86,1011686,100,10,12,56,22,90,290
358,Jolt,good,Female,blue,-,Black,Marvel Comics,-,165,49,1011687,63,12,27,32,31,42,207
359,Jubilee,good,Female,red,Mutant,Black,Marvel Comics,-,165,52,1009381,56,8,22,20,66,90,262
360,Judge Dredd,good,Male,-,Human,-,Rebellion,-,188,-99,1011688,-,-,-,-,-,-,-
361,Juggernaut,neutral,Male,blue,Human,Red,Marvel Comics,-,287,855,1009382,44,100,42,100,74,70,430
362,Junkpile,bad,Male,-,Mutant,-,Marvel Comics,-,-99,-99,1011689,50,38,17,90,71,30,296
363,Justice,good,Male,hazel,Human,Brown,Marvel Comics,-,178,81,1010760,50,10,33,70,55,30,248
364,Jyn Erso,good,Female,green,Human,Brown,George Lucas,-,-99,-99,1011690,-,-,-,-,-,-,-
365,K-2SO,good,Male,white,Android,No Hair,George Lucas,gray,213,-99,1011691,-,-,-,-,-,-,-
366,Kang,bad,Male,brown,-,Brown,Marvel Comics,-,191,104,1009384,100,48,58,70,71,70,417
367,Karate Kid,good,Male,brown,Human,Brown,DC Comics,-,173,72,1011692,-,-,-,-,-,-,-
368,Kathryn Janeway,good,Female,-,Human,-,Star Trek,-,-99,-99,1011693,-,-,-,-,-,-,-
369,Katniss Everdeen,good,Female,-,Human,-,,-,-99,-99,1011694,-,-,-,-,-,-,-
370,Kevin 11,good,Male,-,Human,Black,DC Comics,-,-99,-99,1011695,25,7,12,14,100,40,198
371,Kick-Ass,good,Male,blue,Human,Blond,Icon Comics,-,-99,-99,1011696,10,10,23,14,21,56,134
372,Kid Flash,good,Male,green,Human,Red,DC Comics,-,-99,-99,1011697,25,4,92,42,13,30,206
373,Kid Flash II,good,Male,-,-,-,DC Comics,-,-99,-99,1011698,1,1,1,1,0,1,5
374,Killer Croc,bad,Male,red,Metahuman,No Hair,DC Comics,green,244,356,1011699,25,48,33,85,36,60,287
375,Killer Frost,bad,Female,blue,Human,Blond,DC Comics,blue,-99,-99,1011700,-,-,-,-,-,-,-
376,Kilowog,good,Male,red,Bolovaxian,No Hair,DC Comics,pink,234,324,1011701,81,90,53,42,100,80,446
377,King Kong,good,Male,yellow,Animal,Black,,-,30.5,,1011702,-,-,-,-,-,-,-
378,King Shark,bad,Male,black,Animal,No Hair,DC Comics,-,-99,-99,1011703,-,-,-,-,-,-,-
379,Kingpin,bad,Male,blue,Human,No Hair,Marvel Comics,-,201,203,1009389,75,18,25,40,13,70,241
380,Klaw,bad,Male,red,Human,No Hair,Marvel Comics,red,188,97,1009390,63,38,33,100,62,60,356
381,Kool-Aid Man,good,Male,black,-,No Hair,,red,-99,-99,1011704,25,10,12,14,10,14,85
382,Kraven II,bad,Male,brown,Human,Black,Marvel Comics,-,191,99,1011705,50,34,23,28,36,85,256
383,Kraven the Hunter,bad,Male,brown,Human,Black,Marvel Comics,-,183,106,1009391,63,32,35,42,26,85,283
384,Krypto,good,Male,blue,Kryptonian,White,DC Comics,-,64,18,1011706,9,80,100,90,72,40,391
385,Kyle Rayner,good,Male,green,Human,Black,DC Comics,-,180,79,1011707,-,-,-,-,-,-,-
386,Kylo Ren,bad,Male,-,Human,-,George Lucas,-,-99,-99,1011708,-,-,-,-,-,-,-
387,Lady Bullseye,bad,Female,-,-,Black,Marvel Comics,-,-99,-99,1011327,1,1,1,1,0,1,5
388,Lady Deathstrike,bad,Female,brown,Cyborg,Black,Marvel Comics,-,175,58,1009393,1,1,1,1,0,1,5
389,Leader,bad,Male,green,-,No Hair,Marvel Comics,-,178,63,1009398,100,10,12,14,58,42,236
390,Leech,good,Male,-,-,-,Marvel Comics,-,-99,-99,1011092,25,5,12,14,62,14,132
391,Legion,good,Male,green / blue,Mutant,Black,Marvel Comics,-,175,59,1009399,-,-,-,-,-,-,-
392,Leonardo,good,Male,blue,Mutant,No Hair,IDW Publishing,green,-99,-99,1011709,-,-,-,-,-,-,-
393,Lex Luthor,bad,Male,green,Human,No Hair,DC Comics,-,188,95,1011710,100,10,12,14,10,28,174
394,Light Lass,good,Female,blue,-,Red,DC Comics,-,165,54,1011711,38,10,35,28,65,42,218
395,Lightning Lad,good,Male,blue,-,Red,DC Comics,-,155,65,1011712,38,10,23,28,60,42,201
396,Lightning Lord,bad,Male,blue,-,Red,DC Comics,-,191,95,1011713,44,10,23,42,66,42,227
397,Living Brain,bad,-,yellow,-,-,Marvel Comics,-,198,360,1011714,75,53,35,56,31,28,278
398,Living Tribunal,neutral,-,blue,Cosmic Entity,No Hair,Marvel Comics,gold,-99,-99,1011059,-,-,-,-,-,-,-
399,Liz Sherman,good,Female,-,-,-,Dark Horse Comics,-,-99,-99,1011715,1,1,1,1,0,1,5
400,Lizard,bad,Male,red,Human,No Hair,Marvel Comics,-,203,230,1009404,38,51,27,70,40,56,282
401,Lobo,neutral,Male,red,Czarnian,Black,DC Comics,blue-white,229,288,1011716,88,83,35,100,95,85,486
402,Loki,bad,Male,green,Asgardian,Black,Marvel Comics,-,193,236,1009407,88,57,47,85,85,56,418
403,Longshot,good,Male,blue,Human,Blond,Marvel Comics,-,188,36,1009408,50,10,27,10,71,70,238
404,Luke Cage,good,Male,brown,Human,Black,Marvel Comics,-,198,191,1009215,44,55,23,95,35,64,316
405,Luke Campbell,bad,Male,-,-,-,NBC - Heroes,-,-99,-99,1011717,1,1,1,1,0,1,5
406,Luke Skywalker,good,Male,blue,Human,Blond,George Lucas,-,168,77,1011718,-,-,-,-,-,-,-
407,Luna,good,Female,-,Human,-,Marvel Comics,-,-99,-99,1011719,38,6,83,14,53,14,208
408,Lyja,good,Female,green,-,Green,Marvel Comics,-,-99,-99,1010896,1,1,1,1,0,1,5
409,MODOK,bad,Male,white,Cyborg,Brownn,Marvel Comics,-,366,338,1011748,-,-,-,-,-,-,-
410,Mach-IV,bad,Male,brown,-,Brown,Marvel Comics,-,180,79,1011720,75,36,60,84,60,56,371
411,Machine Man,good,-,red,-,Black,Marvel Comics,-,183,383,1010805,63,32,35,84,51,64,329
412,Magneto,bad,Male,grey,Mutant,White,Marvel Comics,-,188,86,1009417,88,80,27,84,91,80,450
413,Magog,good,Male,blue,-,Blond,DC Comics,-,-99,-99,1011721,50,48,23,64,66,72,323
414,Magus,bad,Male,black,-,-,Marvel Comics,-,183,-99,1011722,88,100,70,99,100,74,531
415,Man of Miracles,-,-,blue,God / Eternal,Silver,Image Comics,-,-99,-99,1011723,-,-,-,-,-,-,-
416,Man-Bat,neutral,Male,brown,Human,Brown,DC Comics,-,-99,-99,1011724,38,18,50,70,33,30,239
417,Man-Thing,good,Male,red,-,No Hair,Marvel Comics,green,213,225,1009420,50,32,8,100,98,40,328
418,Man-Wolf,good,Male,brown,-,Auburn,Marvel Comics,-,188,90,1010811,63,44,35,42,38,70,292
419,Mandarin,bad,Male,blue,Human,White,Marvel Comics,-,188,97,1009421,100,28,23,28,99,95,373
420,Mantis,good,Female,green,Human-Kree,Black,Marvel Comics,green,168,52,1011026,-,-,-,-,-,-,-
421,Martian Manhunter,good,Male,red,Martian,No Hair,DC Comics,green,201,135,1011725,100,100,96,100,100,85,581
422,Marvel Girl,good,Female,green,-,Red,Marvel Comics,-,170,56,1011726,63,85,47,42,100,80,417
423,Master Brood,good,Male,blue,-,Black,Team Epic TV,-,183,81,1011727,1,1,1,1,0,1,5
424,Master Chief,good,Male,brown,Human / Altered,Brown,Microsoft,-,213,-99,1010732,75,73,35,80,62,100,425
425,Match,bad,Male,black,-,Black,DC Comics,-,-99,-99,1011728,75,95,83,85,90,70,498
426,Matt Parkman,good,Male,-,-,-,NBC - Heroes,-,-99,-99,1011729,63,10,12,14,59,56,214
427,Maverick,good,Male,blue,-,Black,Marvel Comics,-,193,110,1011730,63,10,12,42,60,85,272
428,Maxima,bad,Female,brown,-,Red,DC Comics,-,180,72,1011731,75,90,35,56,67,75,398
429,Maya Herrera,good,Female,-,-,-,NBC - Heroes,-,-99,-99,1011732,50,10,12,14,60,14,160
430,Medusa,good,Female,green,Inhuman,Red,Marvel Comics,-,180,59,1009438,75,34,35,70,35,56,305
431,Meltdown,good,Female,blue,-,Blond,Marvel Comics,-,165,54,1009439,38,10,12,42,58,64,224
432,Mephisto,bad,Male,white,-,Black,Marvel Comics,-,198,140,1009440,88,85,35,95,100,42,445
433,Mera,good,Female,blue,Atlantean,Red,DC Comics,-,175,72,1011733,56,62,54,70,55,70,367
434,Metallo,bad,Male,green,Android,Brown,DC Comics,-,196,90,1011734,75,53,23,95,74,64,384
435,Metamorpho,good,Male,black,-,No Hair,DC Comics,-,185,90,1011735,1,1,1,1,0,1,5
436,Meteorite,good,Female,-,-,-,Marvel Comics,-,-99,-99,1010361,1,1,1,1,0,1,5
437,Metron,good,Male,blue,-,Black,DC Comics,-,185,86,1011736,88,10,47,56,69,28,298
438,Micah Sanders,good,Male,brown,-,Black,NBC - Heroes,-,-99,-99,1011737,63,8,12,14,57,14,168
439,Michelangelo,good,Male,blue,Mutant,-,IDW Publishing,green,-99,-99,1011738,-,-,-,-,-,-,-
440,Micro Lad,good,Male,grey,-,Brown,DC Comics,-,183,77,1011739,38,28,27,28,44,32,197
441,Mimic,good,Male,brown,-,Brown,Marvel Comics,-,188,101,1009445,63,67,47,56,79,42,354
442,Minna Murray,good,Female,-,-,-,Wildstorm,-,-99,-99,1011740,1,1,1,1,0,1,5
443,Misfit,good,Female,blue,-,Red,DC Comics,-,-99,-99,1011741,63,32,23,80,62,42,302
444,Miss Martian,good,Female,red,-,Red,DC Comics,-,178,61,1011742,63,85,58,100,100,45,451
445,Mister Fantastic,good,Male,brown,Human / Radiation,Brown,Marvel Comics,-,185,81,1011743,100,10,18,70,32,64,294
446,Mister Freeze,bad,Male,-,Human,-,DC Comics,-,183,86,1011744,75,32,12,70,37,28,254
447,Mister Knife,bad,Male,blue,Spartoi,Brown,Marvel Comics,-,-99,-99,1011745,-,-,-,-,-,-,-
448,Mister Mxyzptlk,bad,Male,-,God / Eternal,-,DC Comics,-,-99,-99,1011746,113,10,12,14,100,28,277
449,Mister Sinister,bad,Male,red,Human / Altered,Black,Marvel Comics,-,196,128,1009447,1,1,1,1,0,1,5
450,Mister Zsasz,bad,Male,blue,Human,Blond,DC Comics,-,-99,-99,1011747,-,-,-,-,-,-,-
451,Mockingbird,good,Female,blue,Human,Blond,Marvel Comics,-,175,61,1011220,-,-,-,-,-,-,-
452,Mogo,good,Male,-,Planet,-,DC Comics,-,-99,-99,1011749,1,1,1,1,0,1,5
453,Mohinder Suresh,good,Male,-,-,-,NBC - Heroes,-,-99,-99,1011750,1,1,1,1,0,1,5
454,Moloch,bad,Male,-,-,-,DC Comics,-,-99,-99,1011751,1,1,1,1,0,1,5
455,Molten Man,bad,Male,gold,-,Gold,Marvel Comics,-,196,248,1011370,50,73,23,84,53,56,339
456,Monarch,good,Male,blue,-,White,DC Comics,-,193,90,1011752,1,1,1,1,0,1,5
457,Monica Dawson,good,Female,-,-,-,NBC - Heroes,-,-99,-99,1011753,50,10,35,14,48,90,247
458,Moon Knight,good,Male,brown,Human,Brown,Marvel Comics,-,188,101,1009452,50,36,23,42,28,75,254
459,Moonstone,bad,Female,blue,-,Blond,Marvel Comics,-,180,59,1010362,56,67,47,52,79,80,381
460,Morlun,bad,Male,white / red,-,Black,Marvel Comics,-,188,79,1011088,63,60,35,42,59,56,315
461,Morph,good,Male,white,-,No Hair,Marvel Comics,-,178,79,1009456,1,1,1,1,0,1,5
462,Moses Magnum,bad,Male,brown,-,Black,Marvel Comics,-,175,72,1011754,75,28,12,42,55,56,268
463,Mr Immortal,good,Male,blue,Mutant,Blond,Marvel Comics,-,188,70,1011755,-,-,-,-,-,-,-
464,Mr Incredible,good,Male,blue,Human,Blond,Dark Horse Comics,-,201,158,1011756,38,73,35,95,25,42,308
465,Ms Marvel II,good,Female,blue,-,Red,Marvel Comics,-,173,61,1011757,38,63,23,84,11,56,275
466,Multiple Man,good,Male,blue,-,Brown,Marvel Comics,-,180,70,1011056,63,11,23,70,28,62,257
467,Mysterio,bad,Male,brown,Human,No Hair,Marvel Comics,-,180,79,1009464,-,-,-,-,-,-,-
468,Mystique,bad,Female,yellow (without irises),Mutant,Red / Orange,Marvel Comics,blue,178,54,1009465,75,12,23,64,58,74,306
469,Namor,good,Male,-,-,-,Marvel Comics,-,-99,-99,1009466,1,1,1,1,0,1,5
470,Namora,good,Female,blue,-,Blond,Marvel Comics,-,180,85,1009468,50,85,42,42,41,64,324
471,Namorita,good,Female,blue,-,Blond,Marvel Comics,-,168,101,1009469,50,72,47,70,30,70,339
472,Naruto Uzumaki,good,Male,-,Human,-,Shueisha,-,168,54,1011758,50,80,32,80,100,100,442
473,Nathan Petrelli,good,Male,brown,-,-,NBC - Heroes,-,-99,-99,1011759,1,1,1,1,0,1,5
474,Nebula,bad,Female,blue,Luphomoid,No Hair,Marvel Comics,blue,185,83,1010365,-,-,-,-,-,-,-
475,Negasonic Teenage Warhead,good,Female,black,Mutant,Black,Marvel Comics,-,-99,-99,1011760,-,-,-,-,-,-,-
